job_id,company,title,role_category,ats_source,location,is_dfw,is_remote,age_days,match_score,matching_skills,apply_url,discovered_at
29970c9af7716cec,Fannie Mae,Technology Program Intern - Software & AI Track,AI/ML & GenAI,workday,"Plano, TX",True,False,3,0.72,ai; database; full-stack; python,https://fanniemae.wd1.myworkdayjobs.com/fanniemaecareers/job/Plano-TX/Technology-Program-Intern_59416,2026-09-09T00:26:47.881392
3feaac437686b60b,Texas Instruments,Systems Engineering Intern - Machine Learning Expert,AI/ML & GenAI,other,"Dallas, TX",True,False,3,0.72,ai; machine learning; neural networks; python,https://careers.ti.com/job/dallas/systems-engineering-intern-machine-learning/123/ml-expert,2026-09-09T00:26:47.881772
a1142f70cc767238,Capital One,Business Analyst Intern - Analyst Intern Program (AIP),AI/ML & GenAI,workday,"Plano, TX",True,False,2,0.64,analytics; python; sql,https://capitalone.wd1.myworkdayjobs.com/CapitalOne/job/Plano-TX/Business-Analyst-Intern_R184920,2026-09-09T00:26:47.882483
531e416c6cf85660,Capital One,Data Science Internship,Data Analyst & Analytics,workday,"Plano, TX",True,False,3,0.64,aws; machine learning; python,https://capitalone.wd1.myworkdayjobs.com/CapitalOne/job/Plano-TX/Data-Science-Internship_R184910,2026-09-09T00:26:47.882820
75474e5f61dc0375,The Boeing Company,Data Analytics Intern,Data Analyst & Analytics,workday,"30 locationsRidley Park, PASeattle, WALong Beach, CAMesa, AZColorado Springs, CORenton, WADallas, TXFairfax, VAPlano, TXChicago, ILSeal Beach, CATukwila, WASt Charles, MOSan Antonio, TXArlington County, Arlington, VAEverett, WABerkeley, MOAuburn, WAOklahoma City, OKKent, WACharleston, SCBellevue, WAHerndon, VAAtlanta, GAHuntsville, ALNorth Charleston, SCHuntington Beach, CAHazelwood, MOMukilteo, WAEl Segundo, CA",True,False,1,0.56,analytics; data analytics,https://boeing.wd1.myworkdayjobs.com/EXTERNAL_CAREERS/job/USA---Everett-WA/Boeing-Summer-2027-Internship-Program--Paid----Data-Analytics-Intern_JR2026520976-1,2026-09-09T00:26:47.945777
90e897593ad98fac,↳,Data Analytics Intern,Data Analyst & Analytics,workday,"30 locationsRidley Park, PASeattle, WALong Beach, CAMesa, AZColorado Springs, CORenton, WADallas, TXFairfax, VAPlano, TXChicago, ILSeal Beach, CATukwila, WASt Charles, MOSan Antonio, TXArlington County, Arlington, VAEverett, WABerkeley, MOAuburn, WAOklahoma City, OKKent, WACharleston, SCBellevue, WAHerndon, VAAtlanta, GAHuntsville, ALNorth Charleston, SCHuntington Beach, CAHazelwood, MOMukilteo, WAEl Segundo, CA",True,False,1,0.56,analytics; data analytics,https://boeing.wd1.myworkdayjobs.com/INTERN/job/USA---Everett-WA/Boeing-Summer-2027-Internship-Program--Paid----Data-Analytics-Intern_JR2026520976,2026-09-09T00:26:47.946593
5c7407f141a14784,RTX (Raytheon Technologies),Software Platform & DevOps Intern,Software Engineering (Fullstack/Backend),workday,"Richardson, TX",True,False,4,0.56,docker; linux,https://rtx.wd3.myworkdayjobs.com/RTXCareers/job/Richardson-TX/Software-Platform-Intern_0167891,2026-09-09T00:26:47.883519
8f48807184688468,Sierra Nevada Corporation (SNC),Software Engineering Intern,Software Engineering (Fullstack/Backend),workday,"Plano, TX",True,False,4,0.56,linux; python,https://snc.wd1.myworkdayjobs.com/SNC_Careers/job/Plano-TX/Software-Engineering-Intern_R0023412,2026-09-09T00:26:47.884612
8303d66a7ad8c8dd,ONE Finance,Software Engineer Intern,Software Engineering (Fullstack/Backend),ashby,Remote in USA,False,True,0,0.88,full-stack; microservices; python; react; sql; typescript,https://jobs.ashbyhq.com/oneapp/ba18d004-3212-44e4-8a0c-bd1215bae770/application,2026-09-09T00:26:47.887425
111266d514fd6098,Cadence Solutions,Software Engineering Intern - AI & Healthcare Data,AI/ML & GenAI,greenhouse,Remote in USA,False,True,3,0.72,ai; python; react; sql,https://boards.greenhouse.io/cadencesolutions/jobs/4397621005,2026-09-09T00:26:47.886436
aedb4986f1f93655,Cloudflare,Research Engineer Intern - AI & Internet Systems,AI/ML & GenAI,greenhouse,"Austin, TX / Remote",False,True,3,0.72,ai; artificial intelligence; machine learning; python,https://boards.greenhouse.io/cloudflare/jobs/6198732,2026-09-09T00:26:47.886780
b232108f1dc1b617,Semgrep,Software Engineer Intern - Cloud Platform,Software Engineering (Fullstack/Backend),ashby,Remote in USA,False,True,0,0.64,docker; git; python,https://jobs.ashbyhq.com/semgrep/8e64dc7f-e925-4361-86d5-b01ee518c987/application,2026-09-09T00:26:47.889606
bc34acdb8ee161d4,Viam Robotics,Software Engineer Intern,Software Engineering (Fullstack/Backend),greenhouse,Remote in USA,False,True,0,0.64,microservices; python; typescript,https://job-boards.greenhouse.io/viamrobotics/jobs/6185046004,2026-09-09T00:26:47.890074
e2c8a3db3eac7ac7,↳,Data Analytics Engineer Intern - Summer 2027,Data Analyst & Analytics,workday,"Austin, TX",False,True,1,0.56,analytics; data analytics,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Austin-Oakhill-Office/Data-Analytics-Engineer-Intern---Summer-2027_R-10065538,2026-09-09T00:26:47.925650
be46bf37c3598f4d,Ragle Inc,Data Analytics Intern,Data Analyst & Analytics,other,"North Richland Hills, TX",False,False,4,0.56,analytics; data analytics,https://ragleinc.applytojob.com/apply/H0xLKtFZlq/Data-Analytics-Intern-Summer-2027,2026-09-09T00:26:47.927656
adbdf983ddaa0189,↳,Generative AI Intern,AI/ML & GenAI,workday,"Columbus, OH",False,True,4,0.56,ai; generative ai,https://nationwide.wd1.myworkdayjobs.com/Nationwide_Career/job/Ohio---Columbus-Metro/Summer-2027-Generative-AI-Internship_100231,2026-09-09T00:26:47.928852
33f0698ce8bdf7ee,Universal Health Services,Software Engineer Intern - Data Analytics,Data Analyst & Analytics,other,"King of Prussia, PA",False,True,6,0.56,analytics; data analytics,https://jobs.uhsinc.com/jobs/367247?icims=1,2026-09-09T00:26:47.899471
